Method,RMSE,MAE,MAPE,Bias,MASE
Moving Average (w=3),58.41336328710334,44.0568,19.50273044034648,24.740733333333374,0.46719405671210384
Simple Exponential Smoothing,57.818613828535064,44.0568,19.409385580282333,23.30182354266004,0.46719405671210384
Holt Exponential Smoothing,57.38218072034886,52.36348671983317,20.8600639225183,-2.9110964108210537,0.5552811321800319
"ARIMA(1,0,1)",61.33416169259647,45.62980457316163,20.33473543661653,29.52056172572467,0.48387475952669934
Croston,63.48878132740808,46.76799063583052,21.065151898945615,35.08287658957631,0.4959444914162478
SBA,56.405641046567965,44.0568,19.164963005127365,19.5340527600975,0.46719405671210384
TSB,62.831226892440746,46.2861997733622,20.82863375034799,33.8783994334055,0.49083540887908217
