Method,RMSE,MAE,MAPE,Bias,MASE
Moving Average (w=3),92.67296633066512,68.8360655737705,99.11340994617012,-67.81967213114754,6.329753156208781
Simple Exponential Smoothing,91.08494587120934,67.83542736183273,126.75267259989506,-65.63304505973265,6.237740447065079
Croston,83.132985242064,63.598982204305514,286.4129969808426,-54.05850973444411,5.848182271660277
SBA,83.71317745440773,63.8755904711394,273.75901379846727,-54.94656785427929,5.873617514587531
TSB,83.14733774466745,63.60585620472902,286.09853246121475,-54.080578893698636,5.8488143636532435
