Method,RMSE,MAE,MAPE,Bias,MASE
Random Forest (UCI),25.679882092946386,23.000977142857128,8.942759579056405,11.077808571428575,0.26300755718653235
XGBoost (UCI),30.53204314428178,25.395171299525668,9.76249737755918,18.887865984235503,0.29038427047417675
LightGBM (UCI),57.426750928809675,48.09120185777001,17.462663071662867,35.516202702854066,0.5499048777023117
MLP Regressor (UCI),46.86605089259052,31.770699173898503,10.73278962842321,18.10752343921523,0.363286043368385
