Method,RMSE,MAE,MAPE,Bias,MASE
Random Forest (NASA),39.36704551288798,29.59413793103449,57.55260051349404,-28.73896551724138,2.8110526794650172
XGBoost (NASA),30.11382520142067,22.053203582763672,44.263515789409304,-21.585680867063587,2.0947634010012983
LightGBM (NASA),22.58885799709829,17.630176255627063,169.20355397787966,-11.104879965099235,1.67463415620732
MLP Regressor (NASA),49.7921527461181,45.74186797523193,1034.6590842033213,12.080027559769546,4.344874002924405
Attention LSTM (NASA),84.41800987126503,60.745140075683594,97.6169996621725,-59.131016784700854,6.508407865251813
